GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0007156,homophilic cell adhesion via plasma memb...,8,2,0.69,0.028
GO:0006915,apoptotic process,48,4,4.17,0.033
GO:0048638,regulation of developmental growth,5,2,0.43,0.033
GO:0021965,spinal cord ventral commissure morphogen...,1,1,0.09,0.034
GO:0006957,"complement activation, alternative pathw...",1,1,0.09,0.034
GO:0060487,lung epithelial cell differentiation,1,1,0.09,0.034
GO:0000090,mitotic anaphase,1,1,0.09,0.034
GO:0021919,BMP signaling pathway involved in spinal...,1,1,0.09,0.034
GO:0045945,positive regulation of transcription by ...,1,1,0.09,0.034
GO:0033617,mitochondrial respiratory chain complex ...,1,1,0.09,0.034
