GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0007411,axon guidance,12,2,0.16,0.0053
GO:0021987,cerebral cortex development,7,2,0.09,0.0084
GO:0061003,positive regulation of dendritic spine m...,1,1,0.01,0.0100
GO:0014068,positive regulation of phosphatidylinosi...,1,1,0.01,0.0100
GO:1902078,positive regulation of lateral motor col...,1,1,0.01,0.0100
GO:0051968,positive regulation of synaptic transmis...,1,1,0.01,0.0100
GO:0038026,reelin-mediated signaling pathway,1,1,0.01,0.0100
GO:1900273,positive regulation of long-term synapti...,1,1,0.01,0.0100
GO:0060244,negative regulation of cell proliferatio...,1,1,0.01,0.0100
GO:0043507,positive regulation of JUN kinase activi...,1,1,0.01,0.0100
