GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0009235,cobalamin metabolic process,2,2,0.22,0.0037
GO:0060340,positive regulation of type I interferon...,2,2,0.22,0.0037
GO:0051988,regulation of attachment of spindle micr...,2,2,0.22,0.0037
GO:0071480,cellular response to gamma radiation,2,2,0.22,0.0037
GO:0006120,"mitochondrial electron transport, NADH t...",7,3,0.76,0.0064
GO:0007059,chromosome segregation,18,6,1.96,0.0100
GO:0045670,regulation of osteoclast differentiation,5,3,0.55,0.0104
GO:0050715,positive regulation of cytokine secretio...,3,2,0.33,0.0105
GO:0035666,TRIF-dependent toll-like receptor signal...,9,3,0.98,0.0140
GO:0048011,neurotrophin TRK receptor signaling path...,36,6,3.92,0.0191
