GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0000165,MAPK cascade,55,4,2.95,0.002
GO:0048011,neurotrophin TRK receptor signaling path...,36,4,1.93,0.014
GO:0043547,positive regulation of GTPase activity,9,2,0.48,0.022
GO:0003338,metanephros morphogenesis,6,3,0.32,0.026
GO:0001823,mesonephros development,13,3,0.7,0.026
GO:0048806,genitalia development,8,2,0.43,0.026
GO:0060054,positive regulation of epithelial cell p...,1,1,0.05,0.027
GO:0019800,peptide cross-linking via chondroitin 4-...,1,1,0.05,0.027
GO:0072287,metanephric distal tubule morphogenesis,1,1,0.05,0.027
GO:0033227,dsRNA transport,1,1,0.05,0.027
