GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0051496,positive regulation of stress fiber asse...,2,2,0.29,0.0092
GO:0008380,RNA splicing,12,4,1.76,0.0138
GO:0009790,embryo development,26,6,3.81,0.0246
GO:0038096,Fc-gamma receptor signaling pathway invo...,3,2,0.44,0.0260
GO:0051289,protein homotetramerization,3,2,0.44,0.0260
GO:0033138,positive regulation of peptidyl-serine p...,3,2,0.44,0.0260
GO:0045892,"negative regulation of transcription, DN...",25,5,3.66,0.0295
GO:0006397,mRNA processing,16,4,2.34,0.0470
GO:0042060,wound healing,20,4,2.93,0.0480
GO:0009615,response to virus,11,3,1.61,0.0482
