GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0006099,tricarboxylic acid cycle,3,2,0.25,0.0057
GO:0035999,tetrahydrofolate interconversion,3,2,0.25,0.0057
GO:0030514,negative regulation of BMP signaling pat...,4,2,0.33,0.0111
GO:0007399,nervous system development,209,15,17.11,0.0126
GO:0001707,mesoderm formation,5,2,0.41,0.0179
GO:0008542,visual learning,6,2,0.49,0.0261
GO:0045668,negative regulation of osteoblast differ...,7,2,0.57,0.0355
GO:0008360,regulation of cell shape,17,3,1.39,0.0367
GO:0006367,transcription initiation from RNA polyme...,17,3,1.39,0.0367
GO:0050793,regulation of developmental process,169,15,13.84,0.0406
