GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0006112,energy reserve metabolic process,6,3,0.23,0.0015
GO:0001958,endochondral ossification,4,2,0.15,0.0034
GO:0050796,regulation of insulin secretion,4,2,0.15,0.0034
GO:0007596,blood coagulation,13,3,0.5,0.0102
GO:0051216,cartilage development,9,2,0.35,0.0191
GO:0071379,cellular response to prostaglandin stimu...,2,2,0.08,0.0234
GO:0007603,"phototransduction, visible light",2,2,0.08,0.0234
GO:0000910,cytokinesis,3,2,0.12,0.0235
GO:0038110,interleukin-2-mediated signaling pathway,1,1,0.04,0.0250
GO:0038111,interleukin-7-mediated signaling pathway,1,1,0.04,0.0250
