GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0040015,negative regulation of multicellular org...,2,2,0.08,0.00051
GO:0051291,protein heterooligomerization,4,2,0.17,0.00295
GO:0007601,visual perception,14,3,0.58,0.00336
GO:0007568,aging,24,4,1.0,0.00391
GO:0060314,regulation of ryanodine-sensitive calciu...,7,2,0.29,0.00989
GO:0008217,regulation of blood pressure,21,4,0.88,0.01519
GO:0051603,proteolysis involved in cellular protein...,40,3,1.67,0.02216
GO:0034616,response to laminar fluid shear stress,2,2,0.08,0.02225
GO:0000302,response to reactive oxygen species,17,2,0.71,0.02243
GO:0007352,zygotic specification of dorsal/ventral ...,1,1,0.04,0.02278
