GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0044267,cellular protein metabolic process,97,5,2.59,0.018
GO:0001541,ovarian follicle development,2,2,0.05,0.020
GO:0006309,apoptotic DNA fragmentation,1,1,0.03,0.022
GO:0018125,peptidyl-cysteine methylation,1,1,0.03,0.022
GO:0072385,minus-end-directed organelle transport a...,1,1,0.03,0.022
GO:0002092,positive regulation of receptor internal...,1,1,0.03,0.022
GO:0034314,Arp2/3 complex-mediated actin nucleation,1,1,0.03,0.022
GO:0042699,follicle-stimulating hormone signaling p...,1,1,0.03,0.022
GO:0046784,viral mRNA export from host cell nucleus,1,1,0.03,0.022
GO:0035774,positive regulation of insulin secretion...,1,1,0.03,0.022
